sweep_name,tag,alpha,variant,job_dir,ckpt_epoch,cfg,cfg_position,cache_sampling_noise,use_sampling_scheduler,use_ema,mode,forward_steps,tau_deg,terminal_angle_mean_deg,terminal_angle_std_deg,capture_mass,curvature_mean_deg,path_length_mean_deg,probe_file
cifar10_alpha_smoke,smoke,85,full,sphere-base-base-cifar-10-32px-a85-smoke,ep0000,1.0,combo,false,false,false,prior,1,5.0,89.87418365478516,1.2451121807098389,0.0,0.0,89.87418365478516,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a85-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json
cifar10_alpha_smoke,smoke,85,full,sphere-base-base-cifar-10-32px-a85-smoke,ep0000,1.0,combo,false,false,false,prior,4,1.0,84.887939453125,1.266073226928711,0.0,120.3906478881836,353.6866760253906,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a85-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json
cifar10_alpha_smoke,smoke,85,full,sphere-base-base-cifar-10-32px-a85-smoke,ep0000,1.0,combo,false,false,false,prior,4,2.0,84.887939453125,1.266073226928711,0.0,120.3906478881836,353.6866760253906,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a85-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json
cifar10_alpha_smoke,smoke,85,full,sphere-base-base-cifar-10-32px-a85-smoke,ep0000,1.0,combo,false,false,false,prior,4,5.0,84.887939453125,1.266073226928711,0.0,120.3906478881836,353.6866760253906,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a85-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json
cifar10_alpha_smoke,smoke,87,full,sphere-base-base-cifar-10-32px-a87-smoke,ep0000,1.0,combo,false,false,false,prior,1,1.0,90.08966064453125,1.4395519495010376,0.0,0.0,90.08966064453125,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a87-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json
cifar10_alpha_smoke,smoke,87,full,sphere-base-base-cifar-10-32px-a87-smoke,ep0000,1.0,combo,false,false,false,prior,1,2.0,90.08966064453125,1.4395519495010376,0.0,0.0,90.08966064453125,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a87-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json
cifar10_alpha_smoke,smoke,87,full,sphere-base-base-cifar-10-32px-a87-smoke,ep0000,1.0,combo,false,false,false,prior,1,5.0,90.08966064453125,1.4395519495010376,0.0,0.0,90.08966064453125,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a87-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json
cifar10_alpha_smoke,smoke,87,full,sphere-base-base-cifar-10-32px-a87-smoke,ep0000,1.0,combo,false,false,false,prior,4,1.0,87.01241302490234,1.1846506595611572,0.0,120.19749450683594,356.553466796875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a87-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json
cifar10_alpha_smoke,smoke,87,full,sphere-base-base-cifar-10-32px-a87-smoke,ep0000,1.0,combo,false,false,false,prior,4,2.0,87.01241302490234,1.1846506595611572,0.0,120.19749450683594,356.553466796875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a87-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json
cifar10_alpha_smoke,smoke,87,full,sphere-base-base-cifar-10-32px-a87-smoke,ep0000,1.0,combo,false,false,false,prior,4,5.0,87.01241302490234,1.1846506595611572,0.0,120.19749450683594,356.553466796875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a87-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json
